name,city,predominantdegree,highestdegreegranted,meanearnings7yrs,meanearnings8yrs,meanearnings9yrs,year,undergraduateenrollment
"Minnesota School of Cosmetology-Plymouth Campus","Plymouth","Certificate degree","Predominantly certificate-degree granting",,,,2015,76
"Minnesota School of Cosmetology-Woodbury Campus","WOODBURY","Certificate degree","Predominantly certificate-degree granting",,,,2015,122
"Mississippi College of Beauty Culture","Laurel","Certificate degree","Predominantly certificate-degree granting",,,,2015,61
"Mississippi Institute of Aesthetics Nails & Cosmetology","Clinton","Certificate degree","Predominantly certificate-degree granting",,,,2015,85
"Missouri College of Cosmetology North","Springfield","Certificate degree","Predominantly certificate-degree granting",,,,2015,78
"Missouri School of Barbering & Hairstyling-St. Louis","Florissant","Certificate degree","Predominantly certificate-degree granting",,,,2015,19
"Mitchell's Hair Styling Academy-Raleigh","Raleigh","Certificate degree","Predominantly certificate-degree granting",,,,2015,72
"Mitchells Hairstyling Academy-Wilson","Wilson","Certificate degree","Predominantly certificate-degree granting",,,,2015,27
"Mitsu Sato Hair Academy","Overland Park","Certificate degree","Predominantly certificate-degree granting",,,,2015,54
"Model College of Hair Design","Saint Cloud","Certificate degree","Predominantly certificate-degree granting",,,,2015,92
"Modern Beauty Academy","Oxnard","Certificate degree","Predominantly certificate-degree granting",,,,2015,36
"Modern Beauty School Inc","Missoula","Certificate degree","Predominantly certificate-degree granting",,,,2015,46
"Modern Hairstyling Institute-Arecibo","Arecibo","Certificate degree","Predominantly certificate-degree granting",,,,2015,43
"Modern Hairstyling Institute-Bayamon","Bayamon","Certificate degree","Predominantly certificate-degree granting",,,,2015,231
"Modern Hairstyling Institute-Carolina","Carolina","Certificate degree","Predominantly certificate-degree granting",,,,2015,222
"Modern Technology School","Fountain Valley","Certificate degree","Predominantly certificate-degree granting",,,,2015,131
"Modern Welding School","Schenectady","Certificate degree","Predominantly certificate-degree granting",,,,2015,88
"Moler Barber College","Fargo","Certificate degree","Predominantly certificate-degree granting",,,,2015,12
"Moler Barber College","Oakland","Certificate degree","Predominantly certificate-degree granting",,,,2015,102
"Moler Hollywood Beauty Academy","Cincinnati","Certificate degree","Predominantly certificate-degree granting",,,,2015,89
"Moler-Pickens Beauty Academy","Fairfield","Certificate degree","Predominantly certificate-degree granting",,,,2015,78
"Monmouth County Vocational School District","Freehold","Certificate degree","Predominantly certificate-degree granting",,,,2015,60
"Monongalia County Technical Education Center","Morgantown","Certificate degree","Predominantly certificate-degree granting",,,,2015,81
"Monroe 2 Orleans BOCES-Center for Workforce Development","Rochester","Certificate degree","Predominantly certificate-degree granting",,,,2015,104
"Montage Academy","Longmont","Certificate degree","Predominantly certificate-degree granting",,,,2015,52
"Montana Academy of Salons","Great Falls","Certificate degree","Predominantly certificate-degree granting",,,,2015,87
"Monteclaro Escuela de Hoteleria y Artes Culinarias","Rio Grande","Certificate degree","Predominantly certificate-degree granting",,,,2015,4
"Montessori Casa International","Denver","Certificate degree","Predominantly certificate-degree granting",,,,2015,15
"Montessori Education Center of the Rockies","Boulder","Certificate degree","Predominantly certificate-degree granting",,,,2015,14
"Montessori Education Institute of the Pacific Northwest","Bothell","Certificate degree","Predominantly certificate-degree granting",,,,2015,9
"Montgomery Beauty School","Silver Spring","Certificate degree","Predominantly certificate-degree granting",,,,2015,118
"Monty Tech","Fitchburg","Certificate degree","Predominantly certificate-degree granting",,,,2015,44
"Moore Career College","Baton Rouge","Certificate degree","Predominantly certificate-degree granting",,,,2015,58
"Moore Norman Technology Center","Norman","Certificate degree","Predominantly certificate-degree granting",,,,2015,428
