name,city,predominantdegree,highestdegreegranted,meanearnings7yrs,meanearnings8yrs,meanearnings9yrs,year,undergraduateenrollment
"Neighborhood Playhouse School of the Theater","New York City","Certificate degree","Predominantly certificate-degree granting","","","",2015,80
"Nevada Career Institute","LAS VEGAS","Certificate degree","Predominantly certificate-degree granting","","","",2015,283
"North West Beauty School","HOUSTON","Certificate degree","Predominantly certificate-degree granting","","","",2015,40
"Neighborhood Playhouse School of the Theater","New York City","Certificate degree","Predominantly certificate-degree granting","","","",2014,87
"Nevada Career Institute","LAS VEGAS","Certificate degree","Predominantly certificate-degree granting","","","",2014,272
"North West Beauty School","HOUSTON","Certificate degree","Predominantly certificate-degree granting","","","",2014,45
"NEVADA JEWELRY MANUFACTURING SCHOOL","LAS VEGAS","Certificate degree","Predominantly certificate-degree granting","","","",1997,8
"NEW YORK TECHNICAL INSTITUTE OF HAWAII","HONOLULU","Certificate degree","Predominantly certificate-degree granting","","","",1997,75
"NATIONAL INSTITUTE OF TECHNOLOGY","HOUSTON","Certificate degree","Predominantly certificate-degree granting","","","",2001,840
"NEVADA INSTITUTE OF TECHNOLOGY","LAS VEGAS","Certificate degree","Predominantly certificate-degree granting","","","",2001,32
"NEW YORK TECHNICAL INSTITUTE OF HAWAII","HONOLULU","Certificate degree","Predominantly certificate-degree granting","","","",2001,232
"Neighborhood Playhouse School of the Theater","New York City","Certificate degree","Predominantly certificate-degree granting","","","",2001,106
"Nevada Career Institute","LAS VEGAS","Certificate degree","Predominantly certificate-degree granting","","","",2001,178
"NEVADA JEWELRY MANUFACTURING SCHOOL","LAS VEGAS","Certificate degree","Predominantly certificate-degree granting","","","",1998,8
"NEW YORK TECHNICAL INSTITUTE OF HAWAII","HONOLULU","Certificate degree","Predominantly certificate-degree granting","","","",1998,119
"Nevada Career Institute","LAS VEGAS","Certificate degree","Predominantly certificate-degree granting","","","",1998,806
"NEVADA INSTITUTE OF TECHNOLOGY","LAS VEGAS","Certificate degree","Predominantly certificate-degree granting","","","",2000,28
"NEW YORK TECHNICAL INSTITUTE OF HAWAII","HONOLULU","Certificate degree","Predominantly certificate-degree granting","","","",2000,247
"Neighborhood Playhouse School of the Theater","New York City","Certificate degree","Predominantly certificate-degree granting","","","",2000,105
"Nevada Career Institute","LAS VEGAS","Certificate degree","Predominantly certificate-degree granting","","","",2000,243
"NATIONAL INSTITUTE OF TECHNOLOGY","Atlanta","Certificate degree","Predominantly certificate-degree granting","","","",2002,550
"NATIONAL INSTITUTE OF TECHNOLOGY","HOUSTON","Certificate degree","Predominantly certificate-degree granting","","","",2002,1122
"NCPT","Atlanta","Certificate degree","Predominantly certificate-degree granting","","","",2002,196
"NEW YORK TECHNICAL INSTITUTE OF HAWAII","HONOLULU","Certificate degree","Predominantly certificate-degree granting","","","",2002,188
"Neighborhood Playhouse School of the Theater","New York City","Certificate degree","Predominantly certificate-degree granting","","","",2002,91
"Nevada Career Institute","LAS VEGAS","Certificate degree","Predominantly certificate-degree granting","","","",2002,205
"NEVADA JEWELRY MANUFACTURING SCHOOL","LAS VEGAS","Certificate degree","Predominantly certificate-degree granting","","","",1999,8
"NEW YORK TECHNICAL INSTITUTE OF HAWAII","HONOLULU","Certificate degree","Predominantly certificate-degree granting","","","",1999,232
"Neighborhood Playhouse School of the Theater","New York City","Certificate degree","Predominantly certificate-degree granting","","","",1999,105
"Nevada Career Institute","LAS VEGAS","Certificate degree","Predominantly certificate-degree granting","","","",1999,361
"NATIONAL INSTITUTE OF TECHNOLOGY","HOUSTON","Certificate degree","Predominantly certificate-degree granting","","","",2004,1326
