name,city,predominantdegree,highestdegreegranted,meanearnings7yrs,meanearnings8yrs,meanearnings9yrs,year,undergraduateenrollment
"Neighborhood Playhouse School of the Theater","New York City","Certificate degree","Predominantly certificate-degree granting",,,,2015,80
"Nevada Career Institute","LAS VEGAS","Certificate degree","Predominantly certificate-degree granting",,,,2015,283
"North West Beauty School","HOUSTON","Certificate degree","Predominantly certificate-degree granting",,,,2015,40
"Neighborhood Playhouse School of the Theater","New York City","Certificate degree","Predominantly certificate-degree granting",,,,2014,87
"Nevada Career Institute","LAS VEGAS","Certificate degree","Predominantly certificate-degree granting",,,,2014,272
"North West Beauty School","HOUSTON","Certificate degree","Predominantly certificate-degree granting",,,,2014,45
"Neighborhood Playhouse School of the Theater","New York City","Certificate degree","Predominantly certificate-degree granting",,,,2010,91
"Neighborhood Playhouse School of the Theater","New York City","Certificate degree","Predominantly certificate-degree granting",,,,2013,58
"Neighborhood Playhouse School of the Theater","New York City","Certificate degree","Predominantly certificate-degree granting",,,,2011,64
"Neighborhood Playhouse School of the Theater","New York City","Certificate degree","Predominantly certificate-degree granting",,,,2012,85
"North American University","HOUSTON","Certificate degree","Predominantly certificate-degree granting",,,,2012,169
"North American University","HOUSTON","Certificate degree","Predominantly certificate-degree granting",,,,2013,304
"North West Beauty School","HOUSTON","Certificate degree","Predominantly certificate-degree granting",,,,2013,66
"North West Beauty School","HOUSTON","Certificate degree","Predominantly certificate-degree granting",,,,2012,78
"North West Beauty School","HOUSTON","Certificate degree","Predominantly certificate-degree granting",,,,2010,64
"North West Beauty School","HOUSTON","Certificate degree","Predominantly certificate-degree granting",,,,2011,92
"Morehouse College","Atlanta","Bachelor's degree","Predominantly bachelor's-degree granting",,,,2015,2106
"Morehouse College","Atlanta","Bachelor's degree","Predominantly bachelor's-degree granting",,,,2014,2161
"North American University","HOUSTON","Bachelor's degree","Predominantly bachelor's-degree granting",,,,2014,350
"North American University","HOUSTON","Bachelor's degree","Predominantly bachelor's-degree granting",,,,2015,419
"New Mexico Highlands University","LAS VEGAS","Bachelor's degree","Entirely graduate-degree granting",,,,2015,2140
"New Mexico Highlands University","LAS VEGAS","Bachelor's degree","Entirely graduate-degree granting",,,,2014,2221
"National American University-Houston","HOUSTON","Associate's degree","Not classified",,,,2015,253
"Morehouse School of Medicine","Atlanta","Graduate degree","Entirely graduate-degree granting",,,,2013,
"Morehouse School of Medicine","Atlanta","Graduate degree","Entirely graduate-degree granting",,,,2015,
"Morehouse School of Medicine","Atlanta","Graduate degree","Entirely graduate-degree granting",,,,2011,
"Morehouse School of Medicine","Atlanta","Graduate degree","Entirely graduate-degree granting",,,,2010,
"Morehouse School of Medicine","Atlanta","Graduate degree","Entirely graduate-degree granting",,,,2014,
"Morehouse School of Medicine","Atlanta","Graduate degree","Entirely graduate-degree granting",,,,2012,
"Nevada Career Institute","LAS VEGAS","Certificate degree","Predominantly certificate-degree granting",29200,,29300,2011,121
"Morehouse College","Atlanta","Bachelor's degree","Predominantly bachelor's-degree granting",38000,,45100,2011,2569
"New Mexico Highlands University","LAS VEGAS","Bachelor's degree","Entirely graduate-degree granting",32200,,35700,2011,2104
"Nevada Career Institute","LAS VEGAS","Certificate degree","Predominantly certificate-degree granting",,28700,,2010,72
"Morehouse College","Atlanta","Bachelor's degree","Predominantly bachelor's-degree granting",,42400,,2010,2673
"New Mexico Highlands University","LAS VEGAS","Bachelor's degree","Entirely graduate-degree granting",,35900,,2010,2121
"Morehouse College","Atlanta","Bachelor's degree","Predominantly bachelor's-degree granting",,41900,,2012,2421
"New Mexico Highlands University","LAS VEGAS","Bachelor's degree","Entirely graduate-degree granting",,33700,,2012,2255
"Nevada Career Institute","LAS VEGAS","Certificate degree","Predominantly certificate-degree granting",,30300,,2012,207
"Nevada Career Institute","LAS VEGAS","Certificate degree","Predominantly certificate-degree granting",,29400,,2013,279
"Morehouse College","Atlanta","Bachelor's degree","Predominantly bachelor's-degree granting",,40600,,2013,2372
"New Mexico Highlands University","LAS VEGAS","Bachelor's degree","Entirely graduate-degree granting",,32400,,2013,2289
