year,birth_country,race,sex,family_size,age_1stchild,evpoverty,income,networth,empstatus
1983,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",3,"19","Yes",0,,"3: OUT OF LABOR FORCE"
1984,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",4,"19","Yes",0,,"3: OUT OF LABOR FORCE"
1981,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",3,"17","Yes",0,,"3: OUT OF LABOR FORCE"
1984,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",2,"17","Yes",0,,"3: OUT OF LABOR FORCE"
1984,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",3,"29","Yes",0,,"3: OUT OF LABOR FORCE"
1991,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",2,"29","Yes",0,,"3: OUT OF LABOR FORCE"
2006,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",2,"29","Yes",0,,"3: OUT OF LABOR FORCE"
2006,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",4,"20","Yes",0,,"3: OUT OF LABOR FORCE"
1982,"IN THE US","NON-BLACK, NON-HISPANIC","MALE",4,"No children yet","Yes",0,,"3: OUT OF LABOR FORCE"
1983,"IN THE US","NON-BLACK, NON-HISPANIC","MALE",4,"No children yet","Yes",0,,"3: OUT OF LABOR FORCE"
1991,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",4,"29","Yes",0,,"3: OUT OF LABOR FORCE"
2006,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",5,"29","Yes",0,,"3: OUT OF LABOR FORCE"
1979,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",3,"No children yet","Yes",0,,"3: OUT OF LABOR FORCE"
1982,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",4,"No children yet","Yes",0,,"3: OUT OF LABOR FORCE"
1983,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",3,"No children yet","Yes",0,,"3: OUT OF LABOR FORCE"
1984,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",3,"No children yet","Yes",0,,"3: OUT OF LABOR FORCE"
2006,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",2,"No children yet","Yes",0,,"3: OUT OF LABOR FORCE"
